Time    Activity  	Sleep Status
0.0m     0.0    0
1.0m     2.0    0
2.0m     2.0    0
3.0m     2.0    0
4.0m     2.0    0
5.0m     2.0    0
6.0m     2.0    0
7.0m     2.0    0
8.0m     78.0    0
9.0m     217.0    1
10.0m     457.0    1
11.0m     2.0    1
12.0m     55.0    0
13.0m     2.0    0
14.0m     2.0    0
15.0m     119.0    0
16.0m     9.0    0
17.0m     1.0    0
18.0m     1.0    0
19.0m     1.0    0
20.0m     1.0    0
21.0m     1.0    0
22.0m     1.0    0
23.0m     1.0    0
24.0m     124.0    0
25.0m     147.0    1
26.0m     17.0    1
27.0m     2.0    0
28.0m     3.0    0
29.0m     2.0    0
30.0m     2.0    0
31.0m     2.0    0
32.0m     2.0    0
33.0m     2.0    0
34.0m     2.0    0
35.0m     2.0    0
36.0m     2.0    0
37.0m     2.0    0
38.0m     3.0    0
39.0m     2.0    0
40.0m     2.0    0
41.0m     2.0    0
42.0m     2.0    0
43.0m     2.0    0
44.0m     17.0    0
45.0m     2.0    0
46.0m     2.0    0
47.0m     2.0    0
48.0m     2.0    0
49.0m     2.0    0
50.0m     3.0    0
51.0m     2.0    0
52.0m     2.0    0
53.0m     2.0    0
54.0m     2.0    0
55.0m     2.0    0
56.0m     26.0    0
57.0m     22.0    0
58.0m     4.0    0
59.0m     2.0    0
60.0m     2.0    0
61.0m     87.0    0
62.0m     3.0    0
63.0m     2.0    0
64.0m     2.0    0
65.0m     2.0    0
66.0m     2.0    0
67.0m     2.0    0
68.0m     2.0    0
69.0m     4.0    0
70.0m     2.0    0
71.0m     59.0    0
72.0m     1.0    0
73.0m     2.0    0
74.0m     5.0    0
75.0m     2.0    0
76.0m     2.0    0
77.0m     2.0    0
78.0m     2.0    0
79.0m     2.0    0
80.0m     2.0    0
81.0m     2.0    0
82.0m     1.0    0
83.0m     2.0    0
84.0m     2.0    0
85.0m     2.0    0
86.0m     2.0    0
87.0m     2.0    0
88.0m     2.0    0
89.0m     2.0    0
90.0m     1.0    0
91.0m     2.0    0
92.0m     2.0    0
93.0m     2.0    0
94.0m     1.0    0
95.0m     2.0    0
96.0m     2.0    0
97.0m     2.0    0
98.0m     2.0    0
99.0m     2.0    0
100.0m     165.0    1
101.0m     0.0    1
102.0m     0.0    0
103.0m     0.0    0
104.0m     0.0    0
105.0m     0.0    0
106.0m     0.0    0
107.0m     0.0    0
108.0m     0.0    0
109.0m     0.0    0
110.0m     0.0    0
111.0m     0.0    0
112.0m     0.0    0
113.0m     0.0    0
114.0m     0.0    0
115.0m     0.0    0
116.0m     0.0    0
117.0m     0.0    0
118.0m     0.0    0
119.0m     0.0    0
120.0m     0.0    0
121.0m     0.0    0
122.0m     0.0    0
123.0m     0.0    0
124.0m     0.0    0
125.0m     0.0    0
126.0m     0.0    0
127.0m     0.0    0
128.0m     0.0    0
129.0m     0.0    0
130.0m     0.0    0
131.0m     0.0    0
132.0m     0.0    0
133.0m     0.0    0
134.0m     0.0    0
135.0m     95.0    0
136.0m     155.0    1
137.0m     2.0    1
138.0m     2.0    0
139.0m     2.0    0
140.0m     2.0    0
141.0m     2.0    0
142.0m     2.0    0
143.0m     2.0    0
144.0m     2.0    0
145.0m     2.0    0
