Time    Activity  	Sleep Status
0.0m     0.0    0
1.0m     605.0    1
2.0m     898.0    1
3.0m     2084.0    1
4.0m     2019.0    1
5.0m     1995.0    1
6.0m     503.0    1
7.0m     18.0    1
8.0m     12.0    0
9.0m     65.0    0
10.0m     8.0    0
11.0m     16.0    0
12.0m     96.0    0
13.0m     247.0    1
14.0m     853.0    1
15.0m     362.0    1
16.0m     686.0    1
17.0m     712.0    1
18.0m     589.0    1
19.0m     1010.0    1
20.0m     44.0    1
21.0m     75.0    0
22.0m     911.0    1
23.0m     1318.0    1
24.0m     9.0    1
25.0m     102.0    0
26.0m     26.0    0
27.0m     1.0    0
28.0m     72.0    0
29.0m     8.0    0
30.0m     22.0    0
31.0m     14.0    0
32.0m     16.0    0
33.0m     84.0    0
34.0m     59.0    0
35.0m     28.0    0
36.0m     16.0    0
37.0m     38.0    0
38.0m     22.0    0
39.0m     444.0    1
40.0m     261.0    1
41.0m     162.0    1
42.0m     76.0    1
43.0m     85.0    1
44.0m     146.0    1
45.0m     52.0    1
46.0m     37.0    0
47.0m     71.0    0
48.0m     319.0    1
49.0m     873.0    1
50.0m     178.0    1
51.0m     60.0    1
52.0m     185.0    1
53.0m     320.0    1
54.0m     142.0    1
55.0m     134.0    1
56.0m     5.0    0
57.0m     146.0    1
58.0m     4.0    1
59.0m     101.0    0
60.0m     125.0    1
61.0m     15.0    0
62.0m     82.0    0
63.0m     27.0    0
64.0m     122.0    0
65.0m     50.0    1
66.0m     0.0    0
67.0m     0.0    0
68.0m     0.0    0
69.0m     0.0    0
70.0m     0.0    0
71.0m     0.0    0
72.0m     0.0    0
73.0m     0.0    0
74.0m     0.0    0
75.0m     0.0    0
76.0m     0.0    0
77.0m     0.0    0
78.0m     0.0    0
79.0m     0.0    0
80.0m     0.0    0
81.0m     0.0    0
82.0m     0.0    0
83.0m     0.0    0
84.0m     0.0    0
85.0m     0.0    0
86.0m     0.0    0
87.0m     0.0    0
88.0m     0.0    0
89.0m     0.0    0
90.0m     0.0    0
91.0m     0.0    0
92.0m     0.0    0
93.0m     0.0    0
94.0m     0.0    0
95.0m     0.0    0
96.0m     0.0    0
97.0m     0.0    0
98.0m     0.0    0
99.0m     0.0    0
100.0m     0.0    0
101.0m     0.0    0
102.0m     5.0    0
103.0m     0.0    0
104.0m     27.0    0
105.0m     0.0    0
106.0m     0.0    0
107.0m     0.0    0
108.0m     0.0    0
109.0m     0.0    0
110.0m     0.0    0
111.0m     0.0    0
112.0m     0.0    0
113.0m     0.0    0
114.0m     0.0    0
115.0m     0.0    0
116.0m     0.0    0
117.0m     0.0    0
118.0m     0.0    0
119.0m     0.0    0
120.0m     0.0    0
121.0m     26.0    0
122.0m     0.0    0
123.0m     0.0    0
124.0m     0.0    0
125.0m     0.0    0
126.0m     0.0    0
127.0m     0.0    0
128.0m     0.0    0
129.0m     0.0    0
130.0m     0.0    0
131.0m     0.0    0
132.0m     0.0    0
133.0m     0.0    0
134.0m     0.0    0
135.0m     0.0    0
136.0m     0.0    0
137.0m     0.0    0
138.0m     0.0    0
139.0m     0.0    0
140.0m     0.0    0
141.0m     0.0    0
142.0m     0.0    0
143.0m     0.0    0
144.0m     0.0    0
145.0m     0.0    0
146.0m     0.0    0
147.0m     0.0    0
148.0m     0.0    0
149.0m     0.0    0
150.0m     0.0    0
151.0m     0.0    0
152.0m     0.0    0
153.0m     0.0    0
154.0m     0.0    0
155.0m     0.0    0
156.0m     0.0    0
157.0m     0.0    0
158.0m     0.0    0
159.0m     0.0    0
160.0m     66.0    0
161.0m     0.0    0
162.0m     49.0    0
163.0m     5.0    0
164.0m     0.0    0
165.0m     0.0    0
166.0m     0.0    0
167.0m     0.0    0
168.0m     0.0    0
169.0m     0.0    0
170.0m     0.0    0
171.0m     6.0    0
172.0m     0.0    0
173.0m     0.0    0
174.0m     1.0    0
175.0m     0.0    0
176.0m     0.0    0
177.0m     0.0    0
178.0m     0.0    0
179.0m     0.0    0
180.0m     0.0    0
181.0m     0.0    0
182.0m     0.0    0
183.0m     0.0    0
184.0m     0.0    0
185.0m     0.0    0
186.0m     0.0    0
187.0m     0.0    0
188.0m     0.0    0
189.0m     0.0    0
190.0m     0.0    0
191.0m     5.0    0
192.0m     0.0    0
193.0m     0.0    0
194.0m     0.0    0
195.0m     0.0    0
196.0m     0.0    0
197.0m     0.0    0
198.0m     0.0    0
199.0m     0.0    0
200.0m     0.0    0
201.0m     0.0    0
202.0m     0.0    0
203.0m     0.0    0
204.0m     0.0    0
205.0m     0.0    0
206.0m     0.0    0
207.0m     0.0    0
208.0m     0.0    0
209.0m     0.0    0
210.0m     0.0    0
211.0m     0.0    0
212.0m     0.0    0
213.0m     0.0    0
214.0m     100.0    0
215.0m     1.0    0
216.0m     32.0    0
217.0m     7.0    0
218.0m     0.0    0
219.0m     0.0    0
220.0m     0.0    0
221.0m     19.0    0
222.0m     3.0    0
223.0m     191.0    1
224.0m     0.0    1
225.0m     10.0    0
226.0m     13.0    0
227.0m     0.0    0
228.0m     0.0    0
229.0m     0.0    0
230.0m     0.0    0
231.0m     0.0    0
232.0m     0.0    0
233.0m     0.0    0
234.0m     0.0    0
235.0m     0.0    0
236.0m     0.0    0
237.0m     0.0    0
238.0m     0.0    0
239.0m     0.0    0
240.0m     0.0    0
241.0m     0.0    0
242.0m     0.0    0
243.0m     0.0    0
244.0m     0.0    0
245.0m     0.0    0
246.0m     0.0    0
247.0m     0.0    0
